343,557
350,551
356,547
362,540
369,533
376,527
387,520
394,513
404,506
413,499
417,493
424,489
430,483
437,477
444,471
449,467
456,462
460,453
466,449
473,443
482,437
489,432
496,428
503,423
507,415
514,408
519,403
524,399
529,394
536,388
545,379
548,373
551,367
560,362
566,358
572,354
579,349
583,342
588,337
594,333
599,324
605,320
614,313
618,307
623,303
628,298
631,292
637,286
643,281
650,277
655,270
662,263
666,261
673,257
,253
,248
,243
,239
,232
,226
,220
