437,676
441,668
449,662
457,653
466,645
473,637
480,627
489,619
497,611
502,602
511,593
520,584
529,578
535,570
542,563
551,554
559,547
569,537
576,529
582,522
589,515
597,506
607,499
615,489
623,481
630,474
639,467
648,458
654,451
661,445
667,437
676,430
685,422
692,412
699,405
707,397
715,389
721,382
,374
,368
,359
,351
,343
,333
,327
,317
,307
,299
,293
,285
,278
,270
,261
,254
,246
,238
,233
,223
,215
,206
,200
,192
,185
,178
,169
,159
,151
,144
,139
,129
,120
,113
,107
,98
,92
,84
,76
,67
,59
