450,776
466,772
476,767
492,761
506,755
518,751
530,747
541,742
555,737
569,729
581,726
592,720
607,714
618,708
632,704
646,699
659,694
674,688
688,682
700,677
715,670
729,665
742,660
750,656
763,652
777,649
790,643
785,637
779,633
,626
,620
,614
,610
,606
,601
,595
,590
,587
,583
,578
,575
,568
,564
,558
,555
,551
,546
,539
,532
,528
,522
,517
,513
,508
,503
,498
,492
,488
,483
,478
,473
,468
,464
,460
,456
,454
,449
,444
,437
,431
,425
,421
,414
,409
,404
,398
,392
,386
,381
,374
,369
,365
,359
,355
,349
,344
,341
,334
,330
,323
,318
,310
,307
,300
,292
,288
,283
,276
,271
,266
,259
,254
,249
,245
,240
,233
,226
,220
,217
,215
,209
,203
,198
,193
,188
,183
